,uid,mean_score,tweet_count,final_score,normalized_score
20,193,0.13510609314905392,16,0.3827843859732017,0.2986284542216976
146,190,0.1236689769984914,21,0.38226605806573,0.2981346665362201
172,205,0.19558605386584063,6,0.3805928872312185,0.29654071193359816
169,243,0.11809273113252838,24,0.3801258373351559,0.29609577450334446
52,125,0.15617541858424094,10,0.3744922979504582,0.29072895490185857
191,210,0.1446253402689701,12,0.37095667359555096,0.28736072459482487
53,158,0.10765793905637176,29,0.36616590043367553,0.2827967704701294
1,0,0.11151563944528682,25,0.36332871881194084,0.2800939151422939
160,192,0.17328817051946083,7,0.36034262045986587,0.27724919354304295
132,148,0.12700796315666332,16,0.3598406560168588,0.2767709945942086
101,201,0.12313452413539906,17,0.3559045509829411,0.2730212443560339
14,142,0.11638250309345928,20,0.3543291420264525,0.27152042309773133
89,78,0.17302489408220345,6,0.3366908974337803,0.25471726076023493
72,131,0.1211038310372971,15,0.3357711161540419,0.25384102650249846
155,96,0.1693302017020399,6,0.3295013580335827,0.24786810992560282
197,211,0.10236859253844256,23,0.32533289762412554,0.24389700517141227
134,189,0.11146139159440545,17,0.3221648583602745,0.2408789566483655
112,135,0.11804436231733577,14,0.3196700591124433,0.23850227360938625
186,38,0.10244756078640392,21,0.3166697596337812,0.23564402323553618
84,136,0.19574232231396094,4,0.3150351145999841,0.23408677043054416
140,37,0.10001665833888472,21,0.3091557369685267,0.2284857517880276
181,222,0.10011364951765689,20,0.30479825227888513,0.22433457210353552
93,138,0.10281662782955198,18,0.3027372866877818,0.2223711828775073
54,159,0.11716424985848385,12,0.3005203673919811,0.22025922357108385
57,167,0.1170630241689485,12,0.3002607286246488,0.22001187739478667
68,73,0.11328640599646479,13,0.2989693200907404,0.21878161056606227
202,110,0.10485177212929828,15,0.2907108409125478,0.21091412888085787
3,39,0.10339162587605576,15,0.28666245587798694,0.20705741453590104
137,12,0.14460966137379053,6,0.2813974077187111,0.2020416399518586
200,109,0.20281052651394393,3,0.28115508928203653,0.20181079407559138
184,103,0.10245692402375887,14,0.2774584937068541,0.1982892137267359
189,223,0.10033710696088237,14,0.2717179226834315,0.19282042989682052
83,59,0.10031216927814077,14,0.27165039018666803,0.1927560947244506
87,127,0.11725663672752071,9,0.2699933837834073,0.19117753924848058
29,19,0.1502797553028965,5,0.2692651745972398,0.19048380710827018
33,118,0.10051035862283625,13,0.2652525986258542,0.1866612064472758
2,65,0.10017480518811943,13,0.26436705387448717,0.18581758779031943
174,217,0.10022256835129274,11,0.2490437265549597,0.1712197430247704
25,144,0.16525053413020668,3,0.22908588363675556,0.15220680368724926
224,39,0.09999999999999999,8,0.21972245773362195,0.1432866889525416
183,227,0.10447669704633987,7,0.21725318397565813,0.14093432289974156
228,90,0.10309530668597504,7,0.21438066347503942,0.1381978018113712
35,156,0.29782606370088016,1,0.20643729635153174,0.1306305132083952
115,183,0.29765253864947855,1,0.2063170179513962,0.1305159293861473
100,199,0.18714835642504193,2,0.20560348417259047,0.1298361778464991
142,149,0.2961352292913262,1,0.20526529924775566,0.12951400427858895
180,221,0.1849895255905033,2,0.20323176608861068,0.12757674869670466
111,6,0.10043678707462306,6,0.19544096330701652,0.12015480128063742
226,86,0.10002915209304826,6,0.19464774225926013,0.1193991352638215
99,13,0.10754964583329657,4,0.17309447747296766,0.09886630926720406
223,0,0.15723884785328598,2,0.17274453050763522,0.0985329305323135
50,125,0.153358991842918,2,0.16848207301638213,0.09447227898584616
15,247,0.15268997464176998,2,0.16774708249787057,0.0937720865753043
7,90,0.1501749125582896,2,0.16498400438619581,0.0911398263286728
229,92,0.1000437281395724,4,0.16101416896907805,0.08735794267145867
227,87,0.19999999999999998,1,0.13862943611198905,0.0660330144393476
117,176,0.1259588026029877,2,0.13837988840556298,0.06579528156292695
94,128,0.10840070045613605,2,0.11909034162134184,0.04741899789540954
90,78,0.17117898898706888,1,0.11865223358748872,0.04700163207561284
154,95,0.10528741871151083,2,0.11567005203861049,0.04416064183860788
218,60,0.10517926460839822,2,0.11555123261186108,0.04404744791468712
85,8,0.10501727606219034,2,0.11537327000437363,0.043877910942461545
210,113,0.10499454080629683,2,0.115348292772863,0.0438541162573607
143,67,0.10460048134832335,2,0.11491537420986744,0.043441694213051815
0,63,0.10407095843504116,2,0.1143336338302043,0.04288749631731463
9,66,0.10387625865344963,2,0.11411973425754683,0.042683723814648605
34,152,0.1035451524252538,2,0.11375597688639637,0.04233718852726283
74,163,0.10311514632781563,2,0.11328356690354856,0.0418871447834005
163,195,0.10286374642943213,2,0.11300737588581454,0.04162403002258859
130,220,0.10268997464176997,2,0.11281646806446506,0.04144216072733198
170,245,0.10252425493226042,2,0.11263440635512335,0.041268718725128314
108,184,0.10234926518767132,2,0.11244216047132688,0.04108557471795826
176,246,0.1022649975215932,2,0.11234958297783608,0.04099738030361327
141,150,0.10225999834655744,2,0.11234409082270859,0.04099214817443482
60,251,0.1018253279333913,2,0.11186655656528383,0.040537222764648995
152,194,0.10156486062893555,2,0.11158040398381248,0.040264618070089186
157,76,0.16066529985978711,1,0.1113646996116296,0.040059126216086746
193,229,0.1010465167053875,2,0.11101094497964616,0.03972212008842886
225,85,0.10008745627914481,2,0.10995730940980065,0.03871836886864875
212,52,0.1520874999014229,1,0.10541902175508223,0.03439494633100175
119,83,0.15139442968860595,1,0.10493862209113809,0.03393729117729753
215,235,0.15034965046596777,1,0.10421443631865882,0.033247391962353545
27,144,0.14037187069344717,1,0.09729836640108812,0.026658763204438718
124,89,0.13576634173790683,1,0.09410605699056815,0.02361759360421843
159,30,0.1157337041695916,1,0.0802204907409112,0.010389439146150661
67,164,0.11263006732626925,1,0.07806921361348035,0.008340014181254699
43,153,0.10243991162147346,1,0.07100593591723431,0.001611147193314899
11,69,0.10069860372216904,1,0.06979895325634468,0.00046130909673369747
173,32,0.10069860372216904,1,0.06979895325634468,0.00046130909673369747
75,171,0.10052421407146472,1,0.06967807556164016,0.0003461543535034084
161,29,0.09999999999999999,1,0.06931471805599453,0.0
